"pd_id","pd_code","pd_name_ar","pd_name_en","deleted","insert_date","insert_uid"
"109","109","أعشاب جافة","Dried Herbs","1","2/6/2014 8:04:22 PM","1"
"110","110","مستخلص عشبى","Herbal Extracts","1","2/6/2014 8:04:22 PM","1"
"111","111","اكياس اعشاب","Herbal Tea Bags","1","2/6/2014 8:04:22 PM","1"
"112","112","منتجات غذائية","Foot Products","1","2/6/2014 8:04:22 PM","1"
"113","113","اغذية للرياضيين","Athletic Food/Supplements","1","2/6/2014 8:04:22 PM","1"
"114","114","بروتينات للرياضيين","Athletics Proteins","1","2/6/2014 8:04:22 PM","1"
"115","115","اغذية لمرضى السكر","Diabetic Food","1","2/6/2014 8:04:22 PM","1"
"116","116","أغذية أطفال","Baby Food","1","2/6/2014 8:04:22 PM","1"
"117","117","غذاء أطفال جاهز","Ready Baby Food","1","2/6/2014 8:04:22 PM","1"
"118","118","غذاء أطفال بودرة","Powder Baby Food","1","2/6/2014 8:04:22 PM","1"
"119","119","لبن صناعي","Milk/Infant Formula","1","2/6/2014 8:04:22 PM","1"
"120","120","مستلزمات للاطفال","BABY Products","1","2/6/2014 8:04:22 PM","1"
"121","121","سكاته","Pacifier","1","2/6/2014 8:04:22 PM","1"
"122","122","ببرونة","Feeding Bottle","1","2/6/2014 8:04:22 PM","1"
"123","123","عضاضة","Teether","1","2/6/2014 8:04:22 PM","1"
"124","124","حلمة رضاعة","Feeding Nipple","1","2/6/2014 8:04:22 PM","1"
"125","125","أداة لأكل الأطفال","Baby Feeding Tool","1","2/6/2014 8:04:22 PM","1"
"126","126","لعب اطفال","Children Toys","1","2/6/2014 8:04:22 PM","1"
"127","127","منتجات تجميل للأطفال","Child Cosmetics/ Perfumes","1","2/6/2014 8:04:22 PM","1"
"128","128","حفاضات أطفال","Diapers: Baby","1","2/6/2014 8:04:22 PM","1"
"129","129","مناديل ورق","Tissue/Diapers","1","2/6/2014 8:04:22 PM","1"
"130","130","علبة مناديل","Tissue: Box","1","2/6/2014 8:04:22 PM","1"
"131","131","بكر تواليت","Tissue: Toilet Rolls","1","2/6/2014 8:04:22 PM","1"
"132","132","مناديل مبللة","Wipes","1","2/6/2014 8:04:22 PM","1"
"133","133","استنشاق","Inhaler","1","2/6/2014 8:04:22 PM","1"
"134","134","بخاخ طبي","Medicated Aerosols","1","2/6/2014 8:04:22 PM","1"
"135","135","بخاخ / اسبراى","Aerosol","1","2/6/2014 8:04:22 PM","1"
"136","136","بخاخ مستنشق بالفم","Inhaler: Oral","1","2/6/2014 8:04:22 PM","1"
"137","137","بخاخ يستنشق بالانف","InhalerL: Nasal","1","2/6/2014 8:04:22 PM","1"
"138","138","بخاخ اسبراى للانف","Nasal Spray","1","2/6/2014 8:04:22 PM","1"
"139","139","أكياس","Sachet","1","2/6/2014 8:04:22 PM","1"
"140","140","عازل طبى","CONDOM","1","2/6/2014 8:04:22 PM","1"
"141","141","مستلزمات أجهزة أوكسيجين","Oxygen need equipments","1","2/6/2014 8:04:22 PM","1"
"142","142","جهاز استنشاق","Nebulizer / Humidifier","1","2/6/2014 8:04:22 PM","1"
"143","143","أجهزة معقمة","Sterile Devices","1","2/6/2014 8:04:22 PM","1"
"144","144","اجهزة للمعاقين","Handicap/Disabled Devices","1","2/6/2014 8:04:22 PM","1"
"145","145","اجهزة لقياس الضغط","Devices for Hypertensives","1","2/6/2014 8:04:22 PM","1"
"146","146","مقياس ضغط الدم","Blood Pressure Meter","1","2/6/2014 8:04:22 PM","1"
"147","147","اجهزة لقياس السكر","Devices for Diabetics","1","2/6/2014 8:04:22 PM","1"
"148","148","شرائط مقياس سكر الدم","Blood  Meter Strips","1","2/6/2014 8:04:22 PM","1"
"149","149","شرائط قياس سكر البول","Urine  Test Strip","1","2/6/2014 8:04:22 PM","1"
"150","150","قلم انسولين","Pen","1","2/6/2014 8:04:22 PM","1"
"151","151","أدوات أخرى لمرضى السكر","Other Diabetic Device","1","2/6/2014 8:04:22 PM","1"
"152","152","اجهزة / ادوات للامومة","Maternity Devices","1","2/6/2014 8:04:22 PM","1"
"153","153","أدوات شفط لبن الام","Breast Milk Suction Devices","1","2/6/2014 8:04:22 PM","1"
"154","154","اختبار حمل","PREGNANCY TEST","1","2/6/2014 8:04:22 PM","1"
"155","155","ادوات منع الحمل","Contraceptive Devices","1","2/6/2014 8:04:22 PM","1"
